City,L3M_Month,LY_Month,Plan_Month,Gr_Plan_Month,CMTD_Month,Ach_Month,L3M_MTD,LY_MTD,Plan_MTD,Gr_Plan_MTD,LYMTD,CMTD_MTD,Gr_MTD,Ach_MTD,WK_Bal,WK_DRR,Rank_
Agra,479,446,653,21.11,289,55.34,370,342,604,24.05,362,394,-1.12,72.4,110,47,9
Ahmedabad,527,466,729,25.45,263,76.07,387,358,603,14.95,298,343,-3.81,86.63,178,66,7
Ajmer,468,452,640,21.7,278,67.72,355,344,613,20.11,368,373,1.36,78.75,110,61,10
Ajmer Rural,417,405,595,20.92,261,63.89,330,315,576,22.87,349,338,1.94,75.66,109,63,8
Akola,463,448,635,23.03,282,69.41,370,352,607,25.04,368,372,1.09,81.43,113,60,1
Aligarh,476,471,655,21.63,297,71.02,410,398,627,23.44,382,399,4.45,81.55,119,68,7
Allahabad,390,364,577,19.88,243,61.3,328,296,549,21.04,318,309,-2.83,70.11,120,48,6
Ambala,436,423,600,20.79,264,64.52,344,330,580,23.44,348,346,-0.57,77.9,112,69,10
Amritsar,519,501,689,21.53,319,72.84,437,419,645,23.79,386,390,1.04,83.47,118,62,1
Anantapur,440,428,612,22.4,271,66.73,349,332,588,23.56,358,361,0.84,78.45,112,61,4
Asansol,417,405,592,19.04,262,64.25,328,316,569,18.33,344,349,1.45,76.1,116,59,8
Aurangabad,372,391,560,26.1,221,60.45,295,343,492,20.58,318,312,-1.85,74.12,135,71,9
Bareilly,384,379,569,15.81,239,58.77,301,310,535,13.42,328,298,-9.15,68.22,123,75,10
Bengaluru,353,346,721,21.99,197,60.61,421,495,686,25.9,353,377,-8.97,89.73,167,55,9
Bhavnagar,459,445,624,22.6,280,67.85,368,352,598,21.92,369,373,1.1,80.67,117,69,4
Bhilai,453,441,638,22.81,283,69.44,374,358,609,24.17,372,381,2.42,80.6,113,67,3
Bhiwandi,487,472,660,23.8,288,70.76,379,360,630,21.95,390,386,0.51,82.34,115,64,3
Bhopal,488,523,750,14.18,315,63.55,412,435,402,12.68,372,349,-3.32,77.45,85,44,5
Bilaspur,429,418,598,20.75,261,64.75,344,330,570,22.12,345,349,1.16,76.45,108,59,5
Bokaro,434,421,605,20.83,263,64.33,344,328,582,22.77,350,349,-0.29,77.32,111,65,8
Chandigarh,447,431,628,18.67,289,67.41,386,367,580,26.45,398,365,-4.11,75.87,130,71,5
Chennai,385,545,566,15.24,370,66.55,318,370,447,10.26,368,484,7.63,89.12,57,25,2
Coimbatore,539,518,730,23.9,311,74.3,452,479,680,26.12,395,409,3.55,85.12,106,59,2
Cuttack,396,384,570,17.43,239,59.11,307,290,548,20.1,328,312,-4.88,72.12,106,53,9
Darbhanga,412,399,580,19.63,257,62.87,326,310,556,21.32,338,344,1.77,75.08,106,57,5
Dehradun,389,376,560,17.03,242,62.66,312,295,543,23.6,331,318,-3.93,73.42,118,63,9
Delhi,390,612,547,22.65,266,59.94,499,351,456,10.67,395,241,-15.83,86.46,114,52,3
Dhanbad,400,413,582,18.76,244,64.9,328,312,539,20.13,309,321,3.88,76.22,122,58,6
Faridabad,468,429,612,20.17,276,61.8,354,310,498,21.64,342,330,-2.45,75.91,120,69,7
Gandhinagar,445,431,620,20.34,275,66.89,357,344,602,23.15,355,359,1.13,78.88,110,66,2
Gaya,391,378,560,17.65,243,60.45,310,295,538,21.42,324,326,0.62,72.11,105,56,9
Ghaziabad,428,414,600,19.92,264,63.3,342,325,573,24.84,356,359,0.84,77.05,109,66,6
Guntur,436,428,612,20.27,274,66.88,352,333,587,22.98,360,366,1.67,78.34,108,65,1
Guwahati,410,397,594,25.21,252,67.87,342,320,562,23.3,358,372,4.65,80.32,120,74,3
Gwalior,423,395,609,18.3,265,63.55,349,330,570,22.17,354,359,1.41,78.9,110,52,8
Haldwani,419,404,595,20.22,259,63.74,333,318,572,22.45,343,346,0.87,75.9,109,61,9
Hisar,453,439,632,21.68,278,68.21,363,349,608,24.11,364,368,1.1,79.56,115,68,1
Howrah,447,432,628,17.74,289,68.1,386,342,580,25.99,408,365,-5.39,76.21,134,70,5
Hubli,391,386,585,18.74,248,65.12,318,308,560,19.84,320,342,6.87,72.99,113,64,9
Hyderabad,624,618,651,24.72,252,70.95,472,431,538,24.17,341,242,-4.1,70.86,101,73,8
Indore,372,415,597,20.22,264,67.1,329,302,580,25.15,421,408,2.89,85.1,130,70,3
Jabalpur,391,382,585,19.41,248,64.88,318,305,560,20.55,330,342,3.64,73.2,115,65,9
Jaipur,480,421,647,28.71,206,66.95,270,286,654,10.95,466,287,-2.01,65.92,196,87,4
Jalandhar,470,456,635,20.48,273,67.31,362,345,600,23.18,358,366,2.23,79.77,117,55,2
Jamshedpur,462,447,661,23.11,291,68.77,398,372,627,21.75,369,384,4.07,81.9,107,60,2
